pécuniaire (…) ». Par ailleurs, le deuxième alinéa de l’article L. 430-3 indique que | 13d22
Le premier alinéa de l’article 20 de la loi n° 93-122 du 29 janvier 1993 dispose : | 10d38
contrat de mandat. Même si les achats mentionnés au premier alinéa ne sont pas | 10d38
alinéa de l’article 20 ne peut ni recevoir d’autre paiement que celui qui lui est versé | 10d38
l’alinéa 2 de l’article L. 462-8 du code de commerce. | 10d38
sont confiés au Conseil de la concurrence; qu'en vertu des dispositions du dernier alinéa de | 88d13
qui étaient visées par les dispositions du premier alinéa de l'article 50 de cette dernière | 88d13
Selon les termes de l’article L. 464-7 alinéa 2, "Le recours n’est pas suspensif. Toutefois, le | 04d47
Considérant que l'article L. 462-8, alinéa 2, du code de commerce dispose que le conseil "peut aussi rejeter | 02d26
modalités d’application du présent alinéa.". Ce décret d’application, actuellement en cours d’élaboration | 02d41
saisi, par application des dispositions combinées du premier alinéa de l'article 11 et du | 95d24
deuxième alinéa de l'article 5 de l'ordonnance du 1er décembre 1986, que par le ministre | 95d24
Par ailleurs, le deuxième alinéa de l’article L. 1142-1 (I) pose le principe de la présomption | 06d34
alinéa de l’article L. 1142-1 (I), qui fait reposer la responsabilité médicale assurable sur la | 06d34
(2ème alinéa) et le handicap préexistant non décelé pour lequel la faute caractérisée est | 06d34
exigée (3ème alinéa). | 06d34
réclamation et non plus sur le fait générateur. L’article 4, alinéa 3, dispose : « Tout contrat | 06d34
s’analyse en une privation de propriété au sens de la seconde phrase du premier alinéa de | 06d34
pas rejetée faute d'éléments suffisamment probants, en application de l'alinéa 2 de l'article | 05d34
Considérant, enfin, qu'aux termes du dernier alinéa de l'article 12 de l'ordonnance du 1er | 92mc08
234. Aux termes du quatrième alinéa du I de l’article L. 464-2 du code de commerce, la | 12d10
235. Le troisième alinéa du I de l’article L. 464-2 du code de commerce prévoit que « les | 12d10
l’article 5 de ses statuts. Selon eux, l’alinéa 6 de cet article limite le champ d’intervention du | 03d66
habilités à consulter le Conseil de la concurrence, énumérés à l’article L. 462-1, alinéa 2, | 03d66
d'éléments suffisamment probants, en application de l'alinéa 2 de l'article L. 462-8 du code | 10d33
126. Aux termes du quatrième alinéa du I de l’article L. 464-2 du code de commerce, la | 11d19
127. Le troisième alinéa du I de l’article L. 464-2 du code de commerce prévoit que « les | 11d19
physiques ou morales que Kronenbourg (article 2 alinéa 4 du contrat). | 05d50
factures correspondant à ses ventes de bières en fûts visées à l’annexe 2 (article 2 alinéa 5 | 05d50
alinéa 2, du code de commerce, résulte de la réunion de plusieurs facteurs : | 05d50
conséquent, les faits dénoncés n’entrent pas dans le champ de l’article L. 420-2, alinéa 2 du | 05d50
produits, et non les stipulations des alinéas 4 et 5 de l’article 2 du contrat de distribution | 05d50
l’alinéa 2 de l’article L. 462-8 du cde de commerce. | 03mc04
alinéa de l’article L. 462-1 ou des entreprises et après avoir entendu les parties en cause | 03mc04
Considérant qu'aux termes des deuxième et troisième alinéas de l'article 13 de l'ordonnance du | 95d32
Rodes le 2 décembre 1992, exception faite du dernier alinéa de l’article 4 " Conditions de modification d’une | 98d67
du troisième alinéa de l'article 17 de la loi précitée, « Le Conseil supérieur des messageries | 13d10
de l’ARDP dans des conditions qui seront exposées ci-après. Le cinquième alinéa de | 13d10
Par ailleurs, le sixième alinéa du même article dispose que : « Les décisions à caractère | 13d10
conformément aux dispositions du deuxième alinéa de l'article 18-13 de la loi Bichet | 13d10
personnes mentionnées au dernier alinéa de l'article L. 462-1 du code de commerce ou des | 13d10
L’article L. 462-8 du code de commerce dispose en effet en son premier alinéa que : | 13d10
