de la concurrence de pratiques de la société Quantel S.A. (ci-après QL.S.A.) ; | 91d53
pratiques anticoncurrentielles mises en œuvres par la société France Télécom et ses filiales | 04d73
interactive Europe / Online Groupe a saisi le Conseil de la concurrence de « pratiques | 04d73
concerné ». Suit une liste de pratiques prohibées, parmi lesquelles : « utilisation détournée | 04d73
relatives à ces diverses prestations. Ces pratiques, qui ont pour objet et peuvent | 04d73
position dominante en exerçant ces pratiques prohibées par l’article 82 du Traité | 04d73
public, le grief d’exercer des pratiques de dénigrement de ses concurrents pour | 04d73
le champ de la saisine, laquelle aurait dénoncé au Conseil des pratiques mises en œuvre | 04d73
pratiques mises en œuvre en 2000 et en 2001. | 04d73
Conseil est saisi in rem de l’ensemble des faits et des pratiques affectant le fonctionnement | 04d73
d’examiner, sans avoir à se saisir d’office, des pratiques anticoncurrentielles non | 04d73
pratiques dénoncées dans la saisine, soit sur des marchés connexes. En revanche, le | 04d73
la matérialité des pratiques dénoncées par la société T-Online dans sa saisine du | 04d73
ainsi estimé, dans sa décision n° 00-D-50 du 5 mars 2001 relative à des pratiques mises en | 04d73
relative à des pratiques relevées dans le réseau de franchise | 94d07
de pratiques relevées dans le réseau de franchise Jean Louis David Diffusion dans le secteur | 94d07
pratiques mises en œuvre par la société PagesJaunes SA | 10d38
concurrence de pratiques mises en œuvre par la société PagesJaunes et ont demandé le | 10d38
lettre enregistrée le 10 mai 2010, saisi l’Autorité de la concurrence de pratiques | 10d38
en diverses pratiques discriminatoires et de dénigrement, et en la suppression d’une | 10d38
allèguent des pratiques de discrimination (1), de dénigrement (2), de refus d’accès à | 10d38
Les saisissantes dénoncent diverses pratiques de dénigrement de la part de la force de | 10d38
Les pièces produites par les sociétés saisissantes pour attester de ces pratiques sont, | 10d38
ces pratiques. En revanche, deux autres courriers présentés par les saisissantes | 10d38
Le second courrier censé attester de pratiques dénigrantes de la part de la société | 10d38
Constater que les pratiques de la société PagesJaunes dénoncées portent une atteinte | 10d38
Les pratiques visées dans ces décisions se sont déroulées à une époque où les | 10d38
Décision du Conseil de la concurrence du 20 février 1996 relative à des pratiques mises en œuvre par | 10d38
Dans sa décision n° 05-D-73 relative à des pratiques mises en œuvre par l’ODA et | 10d38
pratiques en cause, une telle délimitation peut effectivement continuer d’être retenue, | 10d38
pratiques discriminatoires et dénigrantes à l’encontre des agences de publicité | 10d38
Certaines des pratiques discriminatoires dont l’Autorité de la concurrence est saisie | 10d38
pour des pratiques très similaires à celles présentées dans leur saisine de l'Autorité de | 10d38
PagesJaunes SA, sur le fondement de la concurrence déloyale, au sujet de certaines des pratiques présentées | 10d38
n° 09-D-14 du 25 mars 2009 relative à des pratiques mises en œuvre dans le secteur de la | 10d38
Ainsi que le rappelle la décision n° 10-D-32 relative à des pratiques mises en œuvre | 10d38
n° 07-D-33 du 15 octobre 2007 relative à des pratiques mises en œuvre par la | 10d38
l’analyse des pratiques alléguées par les saisissantes, il ne peut être exclu que la | 10d38
entre les pratiques de dénigrement alléguées par les saisissantes et ces positions | 10d38
susceptibles de constituer le lien entre la position dominante et les pratiques de | 10d38
telles pratiques soient plus fréquentes que cela n’a pu être démontré à ce stade et de | 10d38
Cf. décision n° 09-D-14, relative à des pratiques mises en œuvre dans le secteur de l’électricité, §59. | 10d38
Conclusion sur les pratiques | 10d38
100. Il n’est donc pas exclu, à ce stade de la procédure, que certaines des pratiques dont | 10d38
l’instruction au fond en vue de déterminer l’existence, ou non, de pratiques d’abus de | 10d38
occasionnée par l’ensemble des pratiques dénoncées. Toutefois, la constatation d'un | 10d38
demandes de mesures conservatoires. Ni la seule gravité des pratiques dénoncées, ni | 10d38
gravité des pratiques dénoncées et d’un manque à gagner, tous éléments impropres à | 10d38
105. Pour ce qui concerne l’effet des pratiques de discrimination et de dénigrement | 10d38
pratiques alléguées, les entreprises saisissantes ne subissent donc pas une atteinte | 10d38
relative à des pratiques relevées dans le secteur des feuilles d'aluminium transformé pour | 88d13
des pratiques relevées dans le secteur des feuilles d'aluminium transformé pour l'emballage et | 88d13
B. - Les pratiques relevées | 88d13
1er décembre 1986 dispose que les pouvoirs de qualification des pratiques | 88d13
établis conformément aux dispositions de l'ordonnance du 30 juin 1945; qu'enfin les pratiques | 88d13
relative à des pratiques relevées | 01d19
pratiques mises en œuvre dans le secteur de la commercialisation des conserves de fruits ; | 01d19
le Conseil dans sa décision n° 03-D-12 du 3 mars 2003 relative à des pratiques relevées | 04d47
concurrence relative à des pratiques relevées dans le secteur des escaliers préfabriqués en | 04d47
des exercices clos depuis l’exercice précédant celui au cours duquel les pratiques ont été | 04d47
le Conseil de la concurrence de pratiques imputées aux sociétés Adidas-Salomon et Allstar Fecht Center | 02d26
le Conseil de la concurrence de pratiques de la société Romelot et de la société Pompes | 92d42
La société en nom personnel Romelot, dont les pratiques sont dénoncées dans la saisine, et la | 92d42
3. Les pratiques dénoncées | 92d42
société Pompes funèbres générales et la société Romelot, de pratiques concertées ayant pour | 92d42
générales sur le marché des prestations du service extérieur, en particulier par des pratiques de | 92d42
n° 96-D-10 en date du 20 février 1996 relative à des pratiques mises en œuvre par France Télécom et | 02d41
20 février 1996 relative à des pratiques mises en œuvre par France Télécom et l’ODA, le Conseil de la | 02d41
sanctionner d’autres pratiques que celles qui résultent du défaut de respect d’injonction (voir les arrêts | 02d41
collectif agricole Sica Lait Clairval a saisi le Conseil de la concurrence de pratiques mises en | 93d34
collecte et de l'industrie laitières, a saisi le Conseil de la concurrence de pratiques émanant de | 93d34
pratiques qui seraient constitutives d'infractions au 2 de l'article 8 de l'ordonnance du 1er | 93d34
Hubert Lesieur a saisi le Conseil de la concurrence des pratiques de la société Plus | 95d24
saisi le Conseil de la concurrence de pratiques en matière d’assurance de la responsabilité | 06d34
pratiques concertées dans le secteur des assurances). Les primes pures sont ainsi évaluées | 06d34
relative à des pratiques mises en œuvre par la société TDF dans le | 07d30
par laquelle la société Emettel a saisi le Conseil de la concurrence de pratiques de la | 07d30
concurrence de pratiques mises en œuvre par la société TDF. Elle a également demandé au | 07d30
Conseil de prononcer des mesures conservatoires tendant à faire cesser ces pratiques. | 07d30
diffuser au dernier trimestre 2007 un guide des bonnes pratiques relatif aux aspects | 07d30
Alors que la saisine de la société Emettel ne portait que sur les pratiques de TDF affectant | 07d30
aucun élément probant s’agissant de pratiques imputables à la société TDF sur le réseau | 07d30
terme aux pratiques anticoncurrentielles ». | 07d30
engagements souscrits, diffuser au dernier trimestre 2007 un guide de bonnes pratiques en | 07d30
diffuser au dernier trimestre 2007 un guide des bonnes pratiques relatif aux | 07d30
relative à des pratiques mises en œuvre sur le marché de la vente | 05d34
saisi le Conseil de la concurrence de pratiques mises en oeuvre par les sociétés Google | 05d34
La société Concurrence dénonce cinq catégories de pratiques : des pratiques commerciales | 05d34
illicites (notamment de publicité mensongère), des pratiques d’imposition de conditions | 05d34
service de Kelkoo, des pratiques relatives à l’utilisation de la marque Sony comme moyen | 05d34
de publicité sur Internet et des pratiques de discrimination dans l’application du barème de | 05d34
des pratiques tarifaires illicites. | 05d34
moteurs de recherche, ces pratiques sont constitutives d’un abus de position dominante. | 05d34
marché des comparateurs de prix, ces pratiques sont constitutives d’un abus de position | 05d34
S’agissant de ces pratiques, la société Concurrence reproche aux sociétés Google France et | 05d34
prendre connaissance du détail des pratiques dénoncées ainsi que des demandes de la | 05d34
pratiques tarifaires ou de publicité mensongère. Il en irait autrement si de telles pratiques | 05d34
validation par les autorités françaises de concurrence des pratiques dénoncées. | 05d34
Ainsi, aucun des éléments avancés concernant les pratiques de Sony France dans | 05d34
probants suffisants pour caractériser l'existence de pratiques qui auraient pour objet ou | 05d34
relative à des pratiques anticoncurrentielles concernant le marché de réhabilitation et | 91d24
dossier relatif à des pratiques anticoncurrentielles constatées à l'occasion du marché des | 91d24
l'existence de pratiques anticoncurrentielles entre les entreprises soumissionnaires; qu'il | 91d24
L'Orbiel a saisi le Conseil de la concurrence de pratiques mises en oeuvre par Electricité de France | 97d95
relative à des pratiques mises en œuvre sur les marchés de certains | 04d33
Concurrence a saisi le Conseil de la concurrence de pratiques mises en œuvre sur les | 04d33
Aux termes de ce texte : « Sont prohibées les offres de prix ou pratiques de prix de vente | 04d33
transformation et de commercialisation, dès lors que ces offres ou pratiques ont pour objet | 04d33
saisi le Conseil de la concurrence de pratiques de la société Pont-à-Mousson qu'elle estime | 92mc08
mettre fin à des pratiques, dont la réalité n'est, par ailleurs, pas clairement établie en l'espèce ; | 92mc08
relative à des pratiques en matière d’honoraires mises en œuvre par le barreau d’Aurillac | 98d02
cadre de vie a saisi le Conseil de la concurrence de pratiques en matière d’honoraires mises en oeuvre par | 98d02
pratiques en matière d’honoraires mises en oeuvre par différents barreaux. La présente décision a trait aux | 98d02
pratiques relevées dans le ressort du barreau d’Aurillac. | 98d02
parvenir aux poursuites et, dès lors l’absence de preuve juridiquement rapportée des prétendues pratiques | 98d02
Mais considérant que le Conseil de la concurrence a été régulièrement saisi des pratiques en cause par une | 98d02
Sur les pratiques constatées, | 98d02
pour effet de fausser le jeu de la concurrence ; que ces pratiques sont prohibées par les dispositions de | 98d02
Concurrence peut ordonner aux intéressés de mettre fin aux pratiques anticoncurrentielles dans un délai | 98d02
telles pratiques, d’enjoindre à l’Ordre des avocats du barreau d’Aurillac de ne plus élaborer ni diffuser de | 98d02
nombreuses procédures devant les différentes juridictions ; que la gravité des pratiques doit s’apprécier en | 98d02
conseil dans sa décision n° 93-D-43 en date du 19 octobre 1993 relative aux pratiques des | 95d29
aux pratiques des entreprises du réseau 'Troc de l'île'; | 95d29
